DocEntry,DocNum,CardCode,NumAtCard,DocDate,DocDueDate,DocStatus,Cancelled,Comments,SlpCode,CreateDate,UpdateDate
516,516,C00031,ARCO-2023-00025,2024-12-08,2025-02-26,C,N,Pedido complementar,15,2024-12-08,2024-12-31
517,517,C00019,ARCO - 2025 - 00327,2022-05-06,2022-06-24,O,N,Urgente,8,2022-05-06,2022-05-18
518,518,C00264,ARCO-2025-00352,2023-11-08,2023-12-17,C,N,,24,2023-11-08,2023-11-16
519,519,C00267,ARCO-2023-00245,2023-10-17,2023-12-16,C,Y,,5,2023-10-17,2023-11-05
520,520,C00007,ARCO-2022-00207,2023-10-13,2023-12-15,C,N,Urgente,5,2023-10-13,2023-11-08
521,521,C00231, ARCO-2022-00019,2022-03-18,2022-04-21,C,N,Pedido complementar,21,2022-03-18,2022-03-21
522,522,C00208,,2024-12-15,2025-03-11,O,N,,9,2024-12-15,2024-12-28
523,523,C00048,ARCO-2022-00265,2024-05-18,2024-08-07,C,N,Reposição,9,2024-05-18,2024-06-05
524,524,C00241,,2024-02-29,2024-05-10,C,N,Pedido complementar,23,2024-02-29,2024-03-16
525,525,C00104,ARCO-2024-00082,2024-09-02,2024-09-22,C,N,,21,2024-09-02,2024-09-19
526,526,C00107,ARCO-2025-00131,2025-01-09,2025-02-01,C,N,,19,2025-01-09,2025-01-23
527,527,C00077,ARCO-2023-00127,2023-05-06,2023-06-21,C,N,Reposição,17,2023-05-06,2023-05-11
528,528,C00145,ARCO-2023-00205,2022-07-13,2022-09-25,C,N,,19,2022-07-13,2022-07-15
529,529,C00170,ARCO-2022-00138,2024-05-26,2024-08-19,C,N,,19,2024-05-26,2024-05-26
530,530,C00104,ARCO-2024-00264,2022-11-19,2023-02-01,O,N,Urgente,21,2022-11-19,2022-12-02
531,531,C00114,ARCO-2025-00036,2025-12-25,2026-01-16,O,N,Reposição,15,2025-12-25,2026-01-05
532,532,C00154, ARCO-2022-00123,2024-08-14,2024-09-22,O,N,Reposição,23,2024-08-14,2024-09-12
533,533,C00242,ARCO-2023-00370,2025-08-01,2025-10-13,O,N,Pedido complementar,19,2025-08-01,2025-08-28
534,534,C00086,,2024-08-31,2024-11-14,C,N,,19,2024-08-31,2024-09-03
535,535,C00260,ARCO-2025-00164 ,2025-08-29,2025-11-16,C,N,Reposição,22,2025-08-29,2025-08-30
536,536,C00005,ARCo-2025-00043,2022-10-17,2022-12-06,O,N,Pedido complementar,13,2022-10-17,2022-10-26
537,537,C00254,ARCO-2024-00348,2023-12-16,2024-03-01,C,N,,7,2023-12-16,2024-01-09
538,538,C00219,,2025-10-20,2026-01-17,C,N,,10,2025-10-20,2025-11-01
539,539,C00187,ARCO-2025-00223,2024-03-27,2024-06-01,C,N,,21,2024-03-27,2024-04-15
540,540,C00194,ARCO-2025-00121,2023-06-29,2023-07-16,O,N,,14,2023-06-29,2023-07-03
541,541,C00083,,2023-07-31,2023-09-01,C,N,,19,2023-07-31,2023-08-06
542,542,C00235,ARCO-2024-00356,2022-06-30,2022-09-27,O,N,,3,2022-06-30,2022-07-19
543,543,C00007,ARCO-2023-00186,2024-09-06,2024-10-22,C,N,,5,2024-09-06,2024-09-16
544,544,C00256,,2025-04-16,2025-05-15,O,N,,4,2025-04-16,2025-04-17
545,545,C00050,ARCO-2022-00204,2022-11-07,2023-01-14,C,Y,,7,2022-11-07,2022-11-11
546,546,C00206,ARCO-2025-00293,2025-10-02,2025-11-19,C,N,Reposição,18,2025-10-02,2025-10-16
547,547,C00105,ARCO-2022-00148,2023-02-28,2023-04-29,C,N,Reposição,17,2023-02-28,2023-03-05
548,548,C00056,ARCO-2022-00207,2022-07-06,2022-08-22,C,N,Pedido complementar,9,2022-07-06,2022-07-22
549,549,C00212,,2024-03-04,2024-04-24,O,N,,24,2024-03-04,2024-04-01
550,550,C00107,ARCO-2024-00254,2025-09-08,2025-11-14,C,N,Reposição,19,2025-09-08,2025-09-12
551,551,C00159,ARCO-2022-00171,2025-04-27,2025-06-02,C,N,,3,2025-04-27,2025-04-27
552,552,C00021,,2025-11-12,2025-12-15,O,N,Pedido complementar,8,2025-11-12,2025-11-13
553,553,C00045,ARCO-2023-00194,2023-10-17,2023-11-12,C,Y,,21,2023-10-17,2023-10-25
554,554,C00107,,2024-10-11,2024-11-09,C,N,,19,2024-10-11,2024-11-03
555,555,C00030,,2025-11-26,2026-01-05,O,N,Urgente,25,2025-11-26,2025-12-23
556,556,C00112,ARCO-2025-00365,2023-02-16,2023-03-04,O,N,,18,2023-02-16,2023-03-11
557,557,C00020,ARCO-2022-00270,2025-04-20,2025-06-04,O,N,Reposição,6,2025-04-20,2025-04-23
558,558,C00002,,2023-09-27,2023-12-19,O,N,Pedido complementar,20,2023-09-27,2023-10-27
559,559,C00119, ARCO-2022-00143,2025-05-14,2025-06-21,C,N,Reposição,25,2025-05-14,2025-06-06
560,560,C00118,ARCO-2023-00135,2025-07-21,2025-09-30,C,N,,7,2025-07-21,2025-08-14
561,561,C00214,ARCO-2022-00274,2022-02-20,2022-05-11,O,N,,9,2022-02-20,2022-03-13
562,562,C00220,ARCO-2025-00179,2025-03-17,2025-05-09,C,N,,17,2025-03-17,2025-04-10
563,563,C00235,,2023-12-13,2024-01-25,O,N,,3,2023-12-13,2023-12-14
564,564,C00179,ARCO-2024-00109,2023-05-16,2023-06-01,C,N,,21,2023-05-16,2023-06-04
565,565,C00230,ARCO-2024-00149,2022-07-13,2022-10-07,C,N,Pedido complementar,7,2022-07-13,2022-07-22
566,566,C00072,ARCO-2025-00311,2024-04-15,2024-06-14,O,N,,6,2024-04-15,2024-04-27
567,567,C00249,ARCO-2023-00354,2024-11-08,2025-01-25,C,N,,25,2024-11-08,2024-11-29
568,568,C00111,ARCO-2025-00121,2024-12-13,2025-02-11,O,N,Pedido complementar,5,2024-12-13,2024-12-25
569,569,C00083,ARCO-2024-00206,2022-11-22,2022-12-30,C,N,Urgente,19,2022-11-22,2022-12-08
570,570,C00267,ARCO-2023-00359,2024-07-05,2024-09-08,O,N,,5,2024-07-05,2024-07-10
571,571,C00096,ARCO-2023-00329,2025-01-06,2025-01-21,C,N,Reposição,17,2025-01-06,2025-01-13
572,572,C00163,ARCO - 2023 - 00055,2025-06-28,2025-09-12,C,N,Urgente,8,2025-06-28,2025-07-08
573,573,C00257,ARCO-2024-00013,2023-01-20,2023-04-16,C,N,Reposição,11,2023-01-20,2023-01-20
574,574,C00163,ARCO-2023-00038,2023-08-19,2023-09-18,C,N,Urgente,8,2023-08-19,2023-08-29
575,575,C00248,ARCO-2022-00097,2022-10-12,2023-01-10,C,N,,21,2022-10-12,2022-11-06
576,576,C00048,ARCo-2025-00226,2023-09-24,2023-12-15,C,Y,Pedido complementar,9,2023-09-24,2023-10-05
577,577,C00023,ARCO-2025-00309,2023-07-07,2023-08-14,C,N,Reposição,3,2023-07-07,2023-08-02
578,578,C00255,ARCO-2024-00238,2025-07-06,2025-08-19,O,N,Reposição,5,2025-07-06,2025-07-12
579,579,C00010,ARCO-2025-00375,2023-11-28,2023-12-14,O,N,Urgente,16,2023-11-28,2023-12-24
580,580,C00019,ARCO-2023-00088,2022-02-17,2022-04-24,C,N,,8,2022-02-17,2022-02-22
581,581,C00117,,2024-04-15,2024-05-26,O,N,,4,2024-04-15,2024-04-27
582,582,C00087,,2022-01-28,2022-04-16,C,Y,,13,2022-01-28,2022-02-22
583,583,C00134,,2024-02-28,2024-05-07,O,N,Reposição,7,2024-02-28,2024-03-13
584,584,C00187,ARCO-2024-00377,2022-02-20,2022-04-17,C,N,Pedido complementar,21,2022-02-20,2022-02-22
585,585,C00142,ARCO-2022-00340,2024-01-23,2024-03-30,C,N,Pedido complementar,19,2024-01-23,2024-02-04
586,586,C00256,,2024-01-12,2024-03-05,C,N,,4,2024-01-12,2024-01-20
587,587,C00170,ARCO-2024-00144,2024-05-28,2024-08-21,C,N,Urgente,19,2024-05-28,2024-06-08
588,588,C00267,ARCO-2022-00138,2023-08-31,2023-11-25,O,N,,5,2023-08-31,2023-09-20
589,589,C00220,ARCO-2024-00214,2023-03-19,2023-05-28,C,N,Reposição,17,2023-03-19,2023-03-29
590,590,C00124,ARCO-2022-00340,2024-08-26,2024-10-26,C,N,Reposição,25,2024-08-26,2024-09-23
591,591,C00149,ARCO-2022-00334,2025-06-03,2025-08-28,O,N,Pedido complementar,2,2025-06-03,2025-06-11
592,592,C00154,ARCO-2023-00374,2025-05-07,2025-07-04,C,Y,,23,2025-05-07,2025-05-31
593,593,C00157,ARCO-2025-00031,2022-03-07,2022-04-13,C,N,Urgente,7,2022-03-07,2022-03-12
594,594,C00005,ARCO-2023-00101,2025-05-20,2025-06-29,C,Y,Urgente,13,2025-05-20,2025-06-03
595,595,C00117,,2024-09-30,2024-11-02,C,N,Pedido complementar,4,2024-09-30,2024-10-25
596,596,C00177, ARCO-2025-00352,2022-02-28,2022-03-23,C,N,Reposição,15,2022-02-28,2022-03-11
597,597,C00057,ARCo-2022-00347,2023-09-07,2023-11-04,O,N,Reposição,20,2023-09-07,2023-09-10
598,598,C00160,ARCO-2022-00117,2022-10-13,2022-12-26,C,N,Pedido complementar,12,2022-10-13,2022-11-03
599,599,C00120,,2024-10-03,2024-11-29,O,N,Pedido complementar,13,2024-10-03,2024-10-26
600,600,C00052,ARCO-2022-00123,2025-03-25,2025-04-12,C,N,,17,2025-03-25,2025-04-06
601,601,C00184,ARCO-2022-00236,2022-11-02,2023-01-26,C,N,Urgente,23,2022-11-02,2022-11-30
602,602,C00094,,2023-12-06,2024-01-04,O,N,Urgente,4,2023-12-06,2023-12-13
603,603,C00099,ARCO-2022-00347,2023-08-23,2023-10-20,O,N,Urgente,17,2023-08-23,2023-08-24
604,604,C00042,ARCO-2025-00166 ,2025-09-25,2025-11-17,C,N,,20,2025-09-25,2025-10-19
605,605,C00113,ARCO-2025-00358 ,2022-10-05,2022-12-19,O,N,,20,2022-10-05,2022-10-18
606,606,C00234,ARCO-2025-00227,2022-07-15,2022-08-16,O,N,Urgente,6,2022-07-15,2022-07-26
607,607,C00217,ARCO-2025-00086,2023-06-12,2023-07-09,O,N,,4,2023-06-12,2023-06-28
608,608,C00132,ARCO-2024-00262,2025-09-03,2025-11-13,C,N,Reposição,11,2025-09-03,2025-09-22
609,609,C00031,ARCO-2023-00120 ,2023-05-08,2023-05-25,O,N,Reposição,15,2023-05-08,2023-05-18
610,610,C00038,ARCO-2022-00253,2023-09-29,2023-11-25,O,N,Pedido complementar,22,2023-09-29,2023-10-18
611,611,C00074,,2022-09-14,2022-11-21,C,N,,11,2022-09-14,2022-10-14
612,612,C00089,,2023-03-17,2023-05-06,O,N,Reposição,19,2023-03-17,2023-04-15
613,613,C00020,ARCO-2024-00177,2022-07-05,2022-08-26,O,N,,6,2022-07-05,2022-07-24
614,614,C00125,arco-2025-00188,2025-02-06,2025-03-15,O,N,,18,2025-02-06,2025-02-10
615,615,C00242,ARCO-2024-00190,2024-08-13,2024-09-20,C,N,,19,2024-08-13,2024-09-04
616,616,C00170,ARCO-2024-00013,2025-07-11,2025-08-28,O,N,Reposição,19,2025-07-11,2025-08-07
617,617,C00104,ARCO-2025-00128,2025-06-13,2025-08-14,O,N,,21,2025-06-13,2025-07-11
618,618,C00020,ARCO-2024-00081,2025-04-13,2025-06-28,C,N,Pedido complementar,6,2025-04-13,2025-04-16
619,619,C00165,ARCO-2023-00076,2022-08-23,2022-11-05,C,N,,11,2022-08-23,2022-09-17
620,620,C00033,,2023-03-14,2023-04-18,C,N,Urgente,21,2023-03-14,2023-03-18
621,621,C00043,ARCO-2025-00375,2023-04-14,2023-05-18,O,N,Reposição,3,2023-04-14,2023-04-21
622,622,C00204,ARCO-2023-00039,2024-06-25,2024-08-06,C,N,Urgente,25,2024-06-25,2024-06-28
623,623,C00014,ARCO-2023-00290,2024-07-13,2024-09-28,O,N,,7,2024-07-13,2024-07-24
624,624,C00042,ARCO - 2023 - 00101,2023-10-13,2023-11-03,O,N,,20,2023-10-13,2023-10-13
625,625,C00068,,2024-02-12,2024-05-03,O,N,Reposição,6,2024-02-12,2024-03-02
626,626,C00018,,2023-09-27,2023-11-25,O,N,,11,2023-09-27,2023-10-13
627,627,C00205,ARCo-2022-00204,2023-07-12,2023-07-28,C,N,,6,2023-07-12,2023-07-20
628,628,C00209,ARCO-2022-00236,2023-09-02,2023-09-25,C,N,,12,2023-09-02,2023-09-09
629,629,C00218,arco-2023-00050,2025-01-30,2025-03-02,C,N,,9,2025-01-30,2025-02-26
630,630,C00161,ARCO-2023-00126,2022-05-04,2022-05-31,C,N,,20,2022-05-04,2022-05-04
631,631,C00051,ARCO-2025-00337,2024-01-11,2024-02-25,C,Y,Reposição,5,2024-01-11,2024-02-03
632,632,C00101,ARCO-2023-00040,2025-10-08,2025-12-11,C,N,Pedido complementar,12,2025-10-08,2025-10-21
633,633,C00114,ARCO-2025-00005,2025-03-03,2025-03-29,C,N,Pedido complementar,15,2025-03-03,2025-03-15
634,634,C00007,ARCO-2024-00262,2023-09-20,2023-12-06,C,N,,5,2023-09-20,2023-09-21
635,635,C00012,ARCO-2025-00042,2022-07-24,2022-08-14,C,N,Urgente,6,2022-07-24,2022-07-27
636,636,C00223,ARCO-2022-00288,2022-02-26,2022-05-20,C,N,,21,2022-02-26,2022-03-04
637,637,C00235,ARCo-2025-00191,2025-04-11,2025-05-06,C,N,Pedido complementar,3,2025-04-11,2025-04-20
638,638,C00186,ARCO-2025-00187,2024-08-25,2024-09-27,C,N,,23,2024-08-25,2024-09-06
639,639,C00059,ARCO-2023-00233,2022-06-10,2022-07-25,C,N,Pedido complementar,17,2022-06-10,2022-07-05
640,640,C00060,ARCO-2024-00346,2024-04-30,2024-06-02,C,N,,7,2024-04-30,2024-05-12
641,641,C00055,ARCO-2024-00206,2024-02-21,2024-05-02,C,N,,19,2024-02-21,2024-03-03
642,642,C00187, ARCO-2025-00235,2024-12-10,2025-02-24,C,N,,21,2024-12-10,2024-12-15
643,643,C00072,ARCO-2022-00336,2023-08-15,2023-10-17,O,N,Urgente,6,2023-08-15,2023-09-12
644,644,C00196,ARCO-2024-00218,2023-03-24,2023-04-08,C,N,,4,2023-03-24,2023-03-26
645,645,C00235,ARCO-2023-00050,2022-12-23,2023-01-20,C,N,Reposição,3,2022-12-23,2022-12-30
646,646,C00058,ARCO-2025-00273,2023-03-01,2023-05-08,C,N,,11,2023-03-01,2023-03-13
647,647,C00161,ARCO-2023-00290,2024-11-11,2025-01-26,O,N,Reposição,20,2024-11-11,2024-11-28
648,648,C00119,ARCO-2022-00143,2024-09-23,2024-11-06,C,N,Pedido complementar,25,2024-09-23,2024-10-19
649,649,C00041,,2025-03-26,2025-05-03,O,N,Pedido complementar,11,2025-03-26,2025-04-25
650,650,C00059,ARCO-2025-00086,2022-04-29,2022-07-02,C,N,,17,2022-04-29,2022-05-01
651,651,C00023,,2022-04-13,2022-06-15,O,N,,3,2022-04-13,2022-04-30
652,652,C00232,ARCO-2025-00263,2024-09-09,2024-10-09,C,N,,6,2024-09-09,2024-09-26
653,653,C00059,ARCO-2022-00299,2024-03-31,2024-04-21,C,N,Urgente,17,2024-03-31,2024-04-16
654,654,C00130,,2024-09-04,2024-10-25,C,N,Reposição,4,2024-09-04,2024-09-23
655,655,C00030,ARCo-2024-00070,2022-08-15,2022-10-04,C,N,,25,2022-08-15,2022-08-28
656,656,C00183,ARCO-2022-00049,2024-12-30,2025-01-27,O,N,Urgente,9,2024-12-30,2025-01-05
657,657,C00161,ARCO-2022-00125 ,2023-02-14,2023-03-13,O,N,,20,2023-02-14,2023-03-12
658,658,C00181,ARCO-2023-00092,2024-04-28,2024-05-26,C,N,Reposição,10,2024-04-28,2024-05-11
659,659,C00112,ARCO-2022-00288,2022-07-01,2022-09-27,O,N,Pedido complementar,18,2022-07-01,2022-07-23
660,660,C00028,ARCO-2025-00086,2022-08-22,2022-10-02,O,N,Urgente,5,2022-08-22,2022-09-06
661,661,C00179,ARCO-2025-00350,2022-08-24,2022-10-27,O,N,Pedido complementar,21,2022-08-24,2022-08-30
662,662,C00216,,2023-05-11,2023-06-04,C,N,Reposição,18,2023-05-11,2023-05-21
663,663,C00138,ARCO-2025-00024,2025-05-18,2025-06-09,O,N,,24,2025-05-18,2025-06-06
664,664,C00183,ARCO-2025-00191,2023-11-13,2024-01-31,O,N,Urgente,9,2023-11-13,2023-12-11
665,665,C00121,ARCO-2022-00301,2022-09-11,2022-10-15,C,N,Pedido complementar,3,2022-09-11,2022-09-17
666,666,C00079,ARCO-2025-00165,2023-12-02,2023-12-30,C,N,,10,2023-12-02,2023-12-28
667,667,C00095,ARCO-2025-00035,2023-06-05,2023-08-22,C,N,,20,2023-06-05,2023-07-01
668,668,C00094,ARCO-2023-00208,2022-09-06,2022-11-29,C,N,Reposição,4,2022-09-06,2022-09-14
669,669,C00184,ARCO-2024-00107,2025-02-10,2025-03-29,C,N,,23,2025-02-10,2025-02-22
670,670,C00112,,2025-05-20,2025-07-05,O,N,Urgente,18,2025-05-20,2025-06-08
671,671,C00205,ARCO-2024-00378,2025-06-27,2025-07-17,C,N,Pedido complementar,6,2025-06-27,2025-07-06
672,672,C00186,,2025-04-01,2025-06-23,C,N,,23,2025-04-01,2025-04-30
673,673,C00017,ARCO-2022-00313,2022-12-27,2023-01-24,C,N,,10,2022-12-27,2023-01-06
674,674,C00048,arco-2023-00261,2023-03-18,2023-06-01,O,N,Urgente,9,2023-03-18,2023-03-18
675,675,C00245,ARCO-2024-00062,2023-04-09,2023-05-31,O,N,,8,2023-04-09,2023-04-18
676,676,C00068,ARCO-2024-00331,2023-07-08,2023-08-04,C,N,Pedido complementar,6,2023-07-08,2023-07-15
677,677,C00032,ARCO-2023-00126,2023-04-26,2023-07-05,C,N,,14,2023-04-26,2023-04-29
678,678,C00052,ARCO-2023-00159,2022-12-11,2023-02-01,C,N,,17,2022-12-11,2022-12-15
679,679,C00016,ARCO-2024-00144,2024-01-24,2024-02-08,C,N,Urgente,10,2024-01-24,2024-02-04
680,680,C00047,ARCO-2024-00377,2025-09-08,2025-10-01,C,N,,15,2025-09-08,2025-09-08
681,681,C00146,ARCO-2024-00254,2025-06-25,2025-09-17,C,N,,5,2025-06-25,2025-07-09
682,682,C00020,ARCO - 2024 - 00326,2022-07-11,2022-08-02,C,N,,6,2022-07-11,2022-07-23
683,683,C00039,arco-2024-00037,2023-10-14,2023-12-17,C,N,,23,2023-10-14,2023-11-06
684,684,C00090,ARCO-2025-00090,2024-02-22,2024-04-25,C,N,Urgente,2,2024-02-22,2024-03-12
685,685,C00089,,2025-03-13,2025-05-11,O,N,Urgente,19,2025-03-13,2025-03-15
686,686,C00129,ARCO-2022-00034,2025-01-14,2025-02-22,C,N,Reposição,1,2025-01-14,2025-02-08
687,687,C00119,,2023-09-18,2023-10-19,C,N,,25,2023-09-18,2023-09-27
688,688,C00002,ARCO-2024-00345,2023-01-20,2023-03-10,C,N,,20,2023-01-20,2023-02-10
689,689,C00268,ARCO-2024-00118,2023-06-12,2023-07-23,C,N,Pedido complementar,1,2023-06-12,2023-06-28
690,690,C00196,ARCO-2022-00314,2022-03-18,2022-06-05,C,N,,4,2022-03-18,2022-04-12
691,691,C00148,ARCO-2025-00128,2022-12-28,2023-03-02,C,N,Reposição,14,2022-12-28,2023-01-07
692,692,C00176,ARCO-2022-00138,2022-02-14,2022-05-13,C,N,Reposição,16,2022-02-14,2022-03-06
693,693,C00192,ARCO-2024-00246,2022-01-17,2022-03-04,C,N,Reposição,16,2022-01-17,2022-02-13
694,694,C00217,ARCO-2022-00108,2022-07-16,2022-09-29,C,N,,4,2022-07-16,2022-07-30
695,695,C00064,,2024-12-07,2025-01-16,C,Y,Reposição,6,2024-12-07,2025-01-01
696,696,C00175,ARCO-2024-00282,2024-07-21,2024-09-01,C,N,Pedido complementar,5,2024-07-21,2024-08-13
697,697,C00206,ARCO-2022-00265,2024-05-30,2024-08-10,C,N,Reposição,18,2024-05-30,2024-06-07
698,698,C00234,ARCo-2023-00359,2024-06-06,2024-09-03,O,N,,6,2024-06-06,2024-06-25
699,699,C00226,,2022-06-15,2022-07-03,O,N,,16,2022-06-15,2022-07-10
700,700,C00230,ARCO-2025-00201,2024-01-05,2024-03-13,C,N,,7,2024-01-05,2024-01-25
701,701,C00174,ARCO-2022-00373,2022-02-10,2022-03-09,C,N,,22,2022-02-10,2022-02-18
702,702,C00093,ARCO-2024-00356,2024-01-24,2024-04-03,C,N,,8,2024-01-24,2024-02-21
703,703,C00143,ARCO-2023-00009,2024-04-17,2024-06-23,C,N,,19,2024-04-17,2024-05-02
704,704,C00176,ARCO-2024-00070,2023-06-26,2023-08-02,C,N,Urgente,16,2023-06-26,2023-07-22
705,705,C00086,,2024-07-01,2024-07-31,C,N,,19,2024-07-01,2024-07-11
706,706,C00029,,2025-10-29,2025-12-13,C,N,Pedido complementar,3,2025-10-29,2025-11-13
707,707,C00220,ARCO-2022-00193,2023-09-09,2023-11-28,O,N,,17,2023-09-09,2023-09-25
708,708,C00148,ARCO-2024-00209,2022-04-17,2022-06-20,O,N,,14,2022-04-17,2022-04-24
709,709,C00010,ARCo-2023-00044,2022-10-17,2022-12-27,C,N,Reposição,16,2022-10-17,2022-10-27
710,710,C00044,,2025-06-04,2025-07-15,O,N,Pedido complementar,2,2025-06-04,2025-07-03
711,711,C00261,,2022-10-29,2023-01-14,C,N,Urgente,22,2022-10-29,2022-11-22
712,712,C00244,ARCO-2023-00111,2024-04-29,2024-06-01,O,N,Pedido complementar,9,2024-04-29,2024-05-12
713,713,C00111,ARCO-2025-00349,2025-07-11,2025-08-28,C,N,Reposição,5,2025-07-11,2025-07-23
714,714,C00126,arco-2023-00276,2023-02-06,2023-03-21,C,N,Urgente,3,2023-02-06,2023-02-08
715,715,C00245,ARCO-2023-00025,2023-03-27,2023-04-26,C,N,,8,2023-03-27,2023-04-10
716,716,C00237,,2022-12-21,2023-02-26,O,N,Urgente,2,2022-12-21,2023-01-04
717,717,C00161,ARCO-2023-00261,2025-02-09,2025-04-27,C,N,Urgente,20,2025-02-09,2025-03-11
718,718,C00192,ARCO-2024-00351,2023-05-06,2023-06-26,C,N,,16,2023-05-06,2023-05-24
719,719,C00182,,2024-07-02,2024-09-13,C,N,,3,2024-07-02,2024-08-01
720,720,C00123,ARCO-2024-00239,2024-08-31,2024-10-21,O,N,,17,2024-08-31,2024-08-31
721,721,C00246, ARCO-2024-00182,2024-06-30,2024-08-28,O,N,,20,2024-06-30,2024-07-10
722,722,C00242,,2025-08-27,2025-10-07,O,N,,19,2025-08-27,2025-09-21
723,723,C00017,ARCO-2025-00024,2023-07-23,2023-08-11,C,N,,10,2023-07-23,2023-08-15
724,724,C00263,ARCO-2024-00149,2023-12-05,2024-01-20,C,N,,17,2023-12-05,2023-12-25
725,725,C00217,ARCO-2023-00176,2023-02-15,2023-03-18,C,N,,4,2023-02-15,2023-03-07
726,726,C00007,,2022-03-17,2022-05-04,C,Y,Reposição,5,2022-03-17,2022-04-09
727,727,C00041,ARCO-2024-00377,2023-09-23,2023-12-21,C,N,,11,2023-09-23,2023-09-25
728,728,C00260,ARCO-2024-00377,2023-10-06,2023-10-31,O,N,Pedido complementar,22,2023-10-06,2023-11-03
729,729,C00163,ARCO-2024-00230,2023-07-21,2023-09-25,C,N,Pedido complementar,8,2023-07-21,2023-07-30
730,730,C00241,ARCO-2022-00048,2025-08-19,2025-10-25,C,N,,23,2025-08-19,2025-08-27
731,731,C00237,ARCO-2024-00211,2025-08-26,2025-10-29,C,N,Pedido complementar,2,2025-08-26,2025-09-14
732,732,C00009,ARCO-2025-00365 ,2023-12-04,2024-03-03,C,Y,Pedido complementar,20,2023-12-04,2023-12-23
733,733,C00035,ARCO-2023-00085,2025-11-17,2025-12-31,O,N,Reposição,22,2025-11-17,2025-12-09
734,734,C00096,ARCO-2025-00147,2023-10-09,2023-11-28,C,N,Reposição,17,2023-10-09,2023-10-26
735,735,C00217,ARCo-2024-00080,2023-12-28,2024-01-20,O,N,Reposição,4,2023-12-28,2024-01-09
736,736,C00193,ARCO-2022-00249,2023-05-14,2023-06-25,C,N,,9,2023-05-14,2023-05-22
737,737,C00233,ARCO-2023-00257,2023-06-19,2023-08-31,C,N,,5,2023-06-19,2023-06-19
738,738,C00097,ARCO-2023-00135,2022-02-04,2022-03-12,O,N,Urgente,6,2022-02-04,2022-02-24
739,739,C00116,,2022-06-18,2022-09-09,C,N,Urgente,9,2022-06-18,2022-07-03
740,740,C00155,ARCO-2023-00047,2024-01-21,2024-02-14,C,N,,13,2024-01-21,2024-01-25
741,741,C00182,ARCO-2023-00101,2024-05-06,2024-06-30,C,N,,3,2024-05-06,2024-05-12
742,742,C00187, ARCO-2024-00356,2025-05-18,2025-07-13,C,N,Reposição,21,2025-05-18,2025-05-19
743,743,C00156,ARCO-2022-00347,2022-06-05,2022-07-11,C,N,,23,2022-06-05,2022-06-16
744,744,C00057,ARCO-2024-00177,2022-12-31,2023-02-11,C,N,,20,2022-12-31,2023-01-18
745,745,C00113,ARCo-2025-00293,2022-04-24,2022-06-03,C,N,,20,2022-04-24,2022-05-21
746,746,C00198,ARCO-2023-00066,2022-12-21,2023-02-13,O,N,Reposição,4,2022-12-21,2023-01-18
747,747,C00190,ARCO-2024-00124,2022-04-17,2022-07-16,O,N,Reposição,4,2022-04-17,2022-04-27
748,748,C00080,ARCO-2025-00099,2022-06-28,2022-08-19,C,N,,13,2022-06-28,2022-06-30
749,749,C00171,,2023-12-31,2024-03-01,O,N,,6,2023-12-31,2024-01-10
750,750,C00115,ARCO-2025-00031,2023-08-31,2023-09-16,C,N,,25,2023-08-31,2023-09-21
751,751,C00052,,2025-06-16,2025-08-22,C,N,,17,2025-06-16,2025-07-07
752,752,C00161,ARCO-2024-00209,2025-12-20,2026-02-28,O,N,,20,2025-12-20,2025-12-30
753,753,C00156,ARCO-2025-00286,2023-01-12,2023-04-12,O,N,Reposição,23,2023-01-12,2023-02-08
754,754,C00137,ARCO-2022-00029,2025-11-02,2025-11-27,C,N,,17,2025-11-02,2025-11-02
755,755,C00215,,2025-11-23,2026-01-25,C,N,,21,2025-11-23,2025-11-23
756,756,C00031,,2025-12-09,2026-03-01,O,N,,15,2025-12-09,2025-12-13
757,757,C00064,ARCO-2025-00073,2024-10-28,2024-11-28,O,N,Pedido complementar,6,2024-10-28,2024-11-22
758,758,C00259,ARCO-2025-00327,2025-08-24,2025-10-26,C,N,Urgente,7,2025-08-24,2025-09-23
759,759,C00075,ARCO-2025-00100,2024-10-13,2025-01-09,O,N,,24,2024-10-13,2024-10-24
760,760,C00118,ARCO-2024-00325,2025-07-21,2025-09-19,C,N,,7,2025-07-21,2025-08-07
761,761,C00234,ARCO-2025-00104,2022-03-04,2022-03-24,C,N,,6,2022-03-04,2022-03-21
762,762,C00174,arco-2024-00377,2025-02-13,2025-04-28,O,N,,22,2025-02-13,2025-02-15
763,763,C00152,ARCO-2024-00368,2023-11-10,2024-01-29,O,N,,10,2023-11-10,2023-12-09
764,764,C00268, ARCO-2025-00195,2022-02-28,2022-04-06,O,N,Urgente,1,2022-02-28,2022-03-25
765,765,C00184,,2024-09-04,2024-10-22,C,N,Urgente,23,2024-09-04,2024-09-26
766,766,C00175,ARCo-2025-00297,2025-07-23,2025-10-10,C,N,Urgente,5,2025-07-23,2025-08-04
767,767,C00133,ARCO-2022-00049,2023-11-06,2024-01-05,C,N,,14,2023-11-06,2023-11-22
768,768,C00255,ARCO-2024-00262,2024-02-20,2024-04-19,C,N,Reposição,5,2024-02-20,2024-03-10
769,769,C00122,ARCO-2023-00200,2022-04-18,2022-06-25,O,N,,7,2022-04-18,2022-05-14
