id,subject,description,status,priority,type,requester_id,submitter_id,assignee_id,organization_id,tags,custom_field_order_ref,custom_field_cnpj,satisfaction_score,satisfaction_comment,created_at,updated_at,solved_at,due_at
877,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,new,urgent,question,134,134,447,79,devolução falta_material atraso,925,,,,2022-06-30 00:00:00,2022-07-23 00:00:00,,2022-06-30 00:00:00
878,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,new,low,task,43,43,400,170,boleto erro_sistema devolução material_danificado,1782,9661668708,,,2025-10-20 00:00:00,2025-11-09 00:00:00,,2025-10-21 00:00:00
879,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,new,low,task,135,135,408,236,devolução urgente troca,,,,,2024-09-12 00:00:00,2024-09-23 00:00:00,,2024-09-14 00:00:00
880,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,closed,normal,incident,298,298,382,280,plataforma urgente suporte_técnico,73,50.660.605/5221-24,good,,2022-10-01 00:00:00,2022-10-05 00:00:00,2022-10-02 00:00:00,2022-10-03 00:00:00
881,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,open,low,task,55,55,426,301,suporte_técnico cancelamento,,,,,2025-04-25 00:00:00,2025-05-18 00:00:00,,2025-04-27 00:00:00
882,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,low,problem,278,278,427,202,atraso boleto,,,good,,2023-12-24 00:00:00,2024-01-20 00:00:00,2024-01-03 00:00:00,2023-12-26 00:00:00
883,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,low,problem,2,2,421,270,cancelamento acesso plataforma devolução,,,bad,Atendimento ruim,2025-08-14 00:00:00,2025-08-24 00:00:00,2025-08-15 00:00:00,2025-08-22 00:00:00
884,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,solved,normal,incident,366,366,419,172,erro_sistema nota_fiscal,,,bad,,2022-09-06 00:00:00,2022-09-25 00:00:00,2022-09-16 00:00:00,2022-09-13 00:00:00
885,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,new,urgent,problem,67,67,463,28,material_danificado cancelamento urgente,,47.634.951/9787-84,,,2024-04-04 00:00:00,2024-04-20 00:00:00,,2024-04-07 00:00:00
886,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,pending,normal,incident,250,250,401,309,pagamento,,,,,2023-12-28 00:00:00,2023-12-30 00:00:00,,2024-01-05 00:00:00
887,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,pending,normal,question,23,23,402,176,acesso digital,883,,,,2022-05-20 00:00:00,2022-05-22 00:00:00,,2022-05-22 00:00:00
888,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,open,urgent,question,179,179,452,30,material_danificado financeiro falta_material entrega,69,89.723.669/4127-28,,,2025-08-21 00:00:00,2025-09-02 00:00:00,,2025-08-28 00:00:00
889,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,solved,urgent,problem,5,5,477,238,material_danificado atraso,193,,good,,2025-01-09 00:00:00,2025-01-09 00:00:00,2025-01-17 00:00:00,2025-01-17 00:00:00
890,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,high,task,112,112,459,,atraso,321,,,,2023-08-21 00:00:00,2023-09-08 00:00:00,,2023-08-26 00:00:00
891,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,normal,incident,12,12,394,94,plataforma,735,,,,2022-12-12 00:00:00,2023-01-11 00:00:00,2022-12-19 00:00:00,2022-12-18 00:00:00
892,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,urgent,problem,69,69,472,30,plataforma falta_material,,28.042.194/0847-47,,,2022-07-10 00:00:00,2022-07-25 00:00:00,2022-07-13 00:00:00,2022-07-16 00:00:00
893,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,pending,low,problem,160,160,439,,pagamento,431,3223586436,,,2025-04-20 00:00:00,2025-05-18 00:00:00,,2025-04-24 00:00:00
894,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,high,problem,56,56,476,,financeiro,432,87.004.078/0006-06,,,2022-10-27 00:00:00,2022-10-28 00:00:00,,2022-10-29 00:00:00
895,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,closed,urgent,question,237,237,393,170,senha nota_fiscal suporte_técnico login,320,77.079.780/0010-99,good,,2023-12-29 00:00:00,2024-01-16 00:00:00,2024-01-17 00:00:00,2023-12-29 00:00:00
896,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,new,normal,question,275,275,433,208,senha atraso suporte_técnico plataforma,,97.904.214/8534-44,,,2023-06-15 00:00:00,2023-06-23 00:00:00,,2023-06-21 00:00:00
897,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,pending,urgent,task,319,319,393,180,suporte_técnico troca,461,,,,2023-05-09 00:00:00,2023-05-11 00:00:00,,2023-05-09 00:00:00
898,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,urgent,problem,209,209,394,20,urgente pagamento,,,,,2024-07-19 00:00:00,2024-08-10 00:00:00,,2024-07-24 00:00:00
899,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,new,urgent,task,290,290,415,114,devolução falta_material troca,496,42.405.989/4039-90,,,2022-01-24 00:00:00,2022-02-23 00:00:00,,2022-01-27 00:00:00
900,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,pending,normal,question,179,179,456,30,devolução senha falta_material plataforma,,89.275.838/3456-33,,,2025-12-31 00:00:00,2026-01-11 00:00:00,,2026-01-01 00:00:00
901,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,solved,low,incident,316,316,386,132,senha devolução,,,bad,Problema não resolvido,2022-07-25 00:00:00,2022-07-27 00:00:00,2022-08-09 00:00:00,2022-07-30 00:00:00
902,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,low,incident,103,103,393,90,urgente entrega atraso devolução,,38.371.908/2890-23,,,2023-08-25 00:00:00,2023-09-14 00:00:00,2023-08-29 00:00:00,2023-08-28 00:00:00
903,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,urgent,problem,368,368,427,88,troca devolução erro_sistema,177,,,,2023-07-01 00:00:00,2023-07-23 00:00:00,,2023-07-03 00:00:00
904,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,normal,task,283,283,396,256,entrega,,6440484343,good,,2023-02-20 00:00:00,2023-03-01 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00
905,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,open,high,question,31,31,474,289,urgente entrega login senha,,83.110.692/8381-40,,,2025-03-20 00:00:00,2025-03-27 00:00:00,,2025-03-22 00:00:00
906,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,closed,normal,task,286,286,397,157,plataforma,,06.041.183/4986-82,,,2025-06-17 00:00:00,2025-07-01 00:00:00,2025-06-16 00:00:00,2025-06-19 00:00:00
907,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,solved,normal,task,331,331,398,253,nota_fiscal digital,,,,,2024-12-12 00:00:00,2025-01-07 00:00:00,2024-12-14 00:00:00,2024-12-15 00:00:00
908,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,normal,task,110,110,408,,login plataforma urgente contrato,569,65.933.496/9429-38,,,2025-12-30 00:00:00,2026-01-07 00:00:00,,2026-01-03 00:00:00
909,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,normal,incident,374,374,464,276,erro_sistema atraso material_danificado senha,,45.960.424/2456-25,good,,2024-05-13 00:00:00,2024-05-25 00:00:00,2024-05-16 00:00:00,2024-05-14 00:00:00
910,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,open,high,question,321,321,416,237,cancelamento devolução suporte_técnico,591,,,,2022-05-23 00:00:00,2022-06-05 00:00:00,,2022-05-28 00:00:00
911,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,pending,urgent,problem,343,343,395,237,nota_fiscal contrato senha,544,,,,2024-05-03 00:00:00,2024-05-21 00:00:00,,2024-05-06 00:00:00
912,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,open,high,task,152,152,439,12,atraso login troca falta_material,,16.322.341/6921-74,,,2023-06-02 00:00:00,2023-06-10 00:00:00,,2023-06-02 00:00:00
913,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,open,urgent,incident,205,205,408,93,senha cancelamento,,,,,2022-12-23 00:00:00,2022-12-26 00:00:00,,2022-12-30 00:00:00
914,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,new,low,task,135,135,428,236,senha urgente,,,,,2024-11-25 00:00:00,2024-12-03 00:00:00,,2024-12-01 00:00:00
915,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,closed,low,question,139,139,403,34,pagamento devolução digital suporte_técnico,,,good,,2025-11-10 00:00:00,2025-11-21 00:00:00,2025-12-03 00:00:00,2025-11-11 00:00:00
916,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,normal,task,140,140,472,280,pagamento falta_material atraso,,87.298.308/1631-06,,,2023-05-16 00:00:00,2023-05-19 00:00:00,2023-05-18 00:00:00,2023-05-21 00:00:00
917,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,high,problem,123,123,422,108,atraso senha,,,,,2023-02-13 00:00:00,2023-02-12 00:00:00,,2023-02-16 00:00:00
918,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,closed,high,question,14,14,441,78,erro_sistema,,,,,2024-03-09 00:00:00,2024-03-30 00:00:00,2024-03-10 00:00:00,2024-03-11 00:00:00
919,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,closed,urgent,task,260,260,468,56,financeiro digital atraso plataforma,,0578420888,good,,2025-01-05 00:00:00,2025-01-26 00:00:00,2025-01-08 00:00:00,2025-01-10 00:00:00
920,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,new,low,incident,276,276,423,246,nota_fiscal falta_material erro_sistema,561,,,,2023-09-18 00:00:00,2023-10-10 00:00:00,,2023-09-23 00:00:00
921,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,closed,normal,task,32,32,478,116,erro_sistema,,,good,,2022-07-21 00:00:00,2022-08-15 00:00:00,2022-07-26 00:00:00,2022-07-24 00:00:00
922,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,solved,normal,incident,207,207,432,72,plataforma digital financeiro suporte_técnico,1287,,good,,2023-08-19 00:00:00,2023-08-18 00:00:00,2023-08-20 00:00:00,2023-08-20 00:00:00
923,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,normal,problem,125,125,463,164,cancelamento senha pagamento,,16.854.583/5000-13,,,2025-11-16 00:00:00,2025-12-02 00:00:00,,2025-11-21 00:00:00
924,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,urgent,problem,19,19,402,,suporte_técnico,646,,,,2024-02-01 00:00:00,2024-02-16 00:00:00,,2024-02-04 00:00:00
925,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,new,urgent,task,214,214,438,243,devolução,1711,,,,2023-03-31 00:00:00,2023-04-27 00:00:00,,2023-04-05 00:00:00
926,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,new,low,problem,367,367,406,118,cancelamento material_danificado,900,,,,2025-09-04 00:00:00,2025-10-01 00:00:00,,2025-09-07 00:00:00
927,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,new,urgent,problem,82,82,465,145,pagamento atraso nota_fiscal senha,,88.293.753/6029-87,,,2022-06-30 00:00:00,2022-07-19 00:00:00,,2022-07-06 00:00:00
928,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,open,normal,task,357,357,466,175,troca devolução financeiro,800,40.970.598/2400-27,,,2022-03-06 00:00:00,2022-03-31 00:00:00,,2022-03-09 00:00:00
929,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,open,urgent,problem,353,353,398,26,devolução falta_material,,,,,2023-05-08 00:00:00,2023-06-07 00:00:00,,2023-05-10 00:00:00
930,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,solved,normal,problem,206,206,480,78,urgente pagamento falta_material troca,,,good,,2023-01-25 00:00:00,2023-02-15 00:00:00,2023-02-02 00:00:00,2023-01-28 00:00:00
931,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,solved,low,question,321,321,405,237,atraso acesso,,,,,2023-11-10 00:00:00,2023-11-18 00:00:00,2023-11-10 00:00:00,2023-11-17 00:00:00
932,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,closed,urgent,problem,77,77,405,186,entrega nota_fiscal contrato acesso,,,good,,2022-04-19 00:00:00,2022-05-11 00:00:00,2022-04-23 00:00:00,2022-04-27 00:00:00
933,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,normal,problem,151,151,435,158,contrato digital plataforma urgente,869,,,,2022-12-07 00:00:00,2023-01-05 00:00:00,,2022-12-12 00:00:00
934,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,pending,high,incident,356,356,478,265,login devolução suporte_técnico,639,,,,2023-11-02 00:00:00,2023-11-20 00:00:00,,2023-11-05 00:00:00
935,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,solved,urgent,question,372,372,439,126,urgente devolução pagamento login,,9603496267,bad,Demorou muito,2023-05-22 00:00:00,2023-06-13 00:00:00,2023-06-04 00:00:00,2023-05-27 00:00:00
936,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,high,task,312,312,462,258,senha falta_material,,,,,2022-10-24 00:00:00,2022-11-09 00:00:00,,2022-10-26 00:00:00
937,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,pending,urgent,incident,316,316,471,132,atraso financeiro,1595,,,,2025-09-22 00:00:00,2025-10-07 00:00:00,,2025-09-27 00:00:00
938,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,solved,normal,question,303,303,408,264,urgente,,,,,2023-05-16 00:00:00,2023-05-22 00:00:00,2023-05-17 00:00:00,2023-05-20 00:00:00
939,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,pending,high,problem,288,288,399,262,contrato urgente,,,,,2024-03-30 00:00:00,2024-04-17 00:00:00,,2024-04-02 00:00:00
940,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,urgent,problem,159,159,445,,suporte_técnico cancelamento erro_sistema contrato,,,,,2023-06-11 00:00:00,2023-07-07 00:00:00,,2023-06-17 00:00:00
941,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,open,low,question,251,251,407,,cancelamento senha,1178,,,,2023-12-20 00:00:00,2023-12-26 00:00:00,,2023-12-22 00:00:00
942,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,new,normal,incident,171,171,474,83,boleto,,,,,2024-06-01 00:00:00,2024-06-03 00:00:00,,2024-06-05 00:00:00
943,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,normal,incident,181,181,429,157,troca falta_material material_danificado,,,,,2024-09-21 00:00:00,2024-10-19 00:00:00,,2024-09-26 00:00:00
944,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,closed,urgent,question,177,177,426,189,material_danificado,,,,,2023-01-31 00:00:00,2023-02-18 00:00:00,2023-02-02 00:00:00,2023-02-06 00:00:00
945,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,low,question,330,330,395,78,material_danificado devolução erro_sistema senha,131,,,,2022-09-04 00:00:00,2022-09-08 00:00:00,2022-09-12 00:00:00,2022-09-05 00:00:00
946,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,closed,normal,task,75,75,395,,nota_fiscal financeiro login boleto,75,39.922.578/5944-67,,,2025-09-20 00:00:00,2025-10-05 00:00:00,2025-09-29 00:00:00,2025-09-28 00:00:00
947,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,solved,low,task,54,54,412,5,atraso devolução,580,,,,2023-02-07 00:00:00,2023-02-21 00:00:00,2023-02-09 00:00:00,2023-02-10 00:00:00
948,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,pending,high,task,339,339,465,157,pagamento erro_sistema financeiro login,,,,,2025-04-30 00:00:00,2025-05-26 00:00:00,,2025-05-06 00:00:00
949,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,high,question,309,309,437,128,plataforma senha financeiro digital,285,,,,2025-10-31 00:00:00,2025-11-01 00:00:00,,2025-11-06 00:00:00
950,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,closed,high,question,170,170,401,90,devolução nota_fiscal erro_sistema digital,,2033970794,good,,2025-03-23 00:00:00,2025-03-30 00:00:00,2025-03-26 00:00:00,2025-03-30 00:00:00
951,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,new,urgent,task,144,144,401,293,devolução atraso,414,59.273.116/6815-95,,,2025-03-18 00:00:00,2025-04-09 00:00:00,,2025-03-26 00:00:00
952,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,closed,urgent,task,349,349,451,274,login,,,good,,2025-10-13 00:00:00,2025-10-22 00:00:00,2025-10-13 00:00:00,2025-10-16 00:00:00
953,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,closed,low,task,157,157,391,79,contrato financeiro urgente,1150,,,,2022-07-21 00:00:00,2022-07-21 00:00:00,2022-07-26 00:00:00,2022-07-28 00:00:00
954,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,solved,urgent,incident,189,189,462,251,pagamento digital contrato,,,good,,2024-08-28 00:00:00,2024-09-22 00:00:00,2024-09-11 00:00:00,2024-08-29 00:00:00
955,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,closed,normal,incident,338,338,477,127,boleto plataforma pagamento erro_sistema,,,good,,2024-09-03 00:00:00,2024-09-07 00:00:00,2024-09-26 00:00:00,2024-09-07 00:00:00
956,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,new,urgent,question,68,68,456,269,digital,,33.779.541/9256-45,,,2022-03-31 00:00:00,2022-04-10 00:00:00,,2022-04-03 00:00:00
957,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,new,normal,problem,160,160,451,,entrega atraso troca,,,,,2024-04-08 00:00:00,2024-04-10 00:00:00,,2024-04-09 00:00:00
958,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,low,task,320,320,473,37,erro_sistema,,,,,2024-06-08 00:00:00,2024-06-17 00:00:00,,2024-06-13 00:00:00
959,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,new,low,question,102,102,388,254,cancelamento troca digital,,,,,2022-06-11 00:00:00,2022-06-19 00:00:00,,2022-06-14 00:00:00
960,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,high,task,251,251,477,,senha financeiro pagamento erro_sistema,591,95.060.092/7392-06,,,2024-01-26 00:00:00,2024-01-29 00:00:00,,2024-01-31 00:00:00
961,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,high,question,159,159,401,,senha material_danificado troca,,,,,2023-08-21 00:00:00,2023-09-01 00:00:00,,2023-08-28 00:00:00
962,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,normal,question,228,228,479,241,troca erro_sistema nota_fiscal,874,45.417.031/0728-10,,,2024-11-25 00:00:00,2024-12-16 00:00:00,,2024-11-27 00:00:00
963,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,open,high,incident,147,147,415,35,cancelamento troca login,,10.024.618/9568-80,,,2025-12-25 00:00:00,2025-12-24 00:00:00,,2025-12-26 00:00:00
964,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,low,incident,230,230,412,270,acesso falta_material,,,good,,2023-05-29 00:00:00,2023-06-18 00:00:00,2023-06-02 00:00:00,2023-05-30 00:00:00
965,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,solved,normal,problem,232,232,382,292,material_danificado atraso nota_fiscal falta_material,279,,good,,2024-03-08 00:00:00,2024-03-12 00:00:00,2024-03-18 00:00:00,2024-03-09 00:00:00
966,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,low,question,354,354,478,59,falta_material senha,958,,,,2022-08-08 00:00:00,2022-08-08 00:00:00,2022-08-15 00:00:00,2022-08-12 00:00:00
967,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,new,urgent,problem,164,164,403,72,troca entrega pagamento,,07.589.704/7785-60,,,2022-02-09 00:00:00,2022-02-16 00:00:00,,2022-02-13 00:00:00
968,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,new,normal,problem,334,334,472,29,erro_sistema urgente falta_material,,,,,2024-04-03 00:00:00,2024-04-29 00:00:00,,2024-04-07 00:00:00
969,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,new,high,question,134,134,479,79,atraso plataforma,,,,,2022-07-05 00:00:00,2022-07-04 00:00:00,,2022-07-07 00:00:00
970,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,solved,normal,incident,245,245,470,119,boleto urgente,,5201913137,good,,2022-10-08 00:00:00,2022-10-24 00:00:00,2022-10-29 00:00:00,2022-10-10 00:00:00
971,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,solved,low,question,369,369,448,27,erro_sistema nota_fiscal material_danificado financeiro,,,good,,2025-06-18 00:00:00,2025-06-24 00:00:00,2025-06-22 00:00:00,2025-06-23 00:00:00
972,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,closed,normal,task,292,292,433,62,entrega senha,1135,,,,2025-09-11 00:00:00,2025-10-02 00:00:00,2025-09-15 00:00:00,2025-09-16 00:00:00
973,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,urgent,question,115,115,421,287,troca devolução falta_material digital,380,90.014.360/4235-15,,,2023-04-28 00:00:00,2023-05-14 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
974,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,new,low,question,168,168,450,,suporte_técnico troca contrato acesso,391,,,,2025-10-11 00:00:00,2025-11-09 00:00:00,,2025-10-16 00:00:00
975,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,open,normal,task,271,271,392,222,plataforma falta_material,,,,,2024-04-01 00:00:00,2024-04-29 00:00:00,,2024-04-03 00:00:00
976,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,open,normal,incident,352,352,451,285,financeiro material_danificado,476,,,,2025-02-28 00:00:00,2025-03-15 00:00:00,,2025-03-05 00:00:00
977,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,closed,urgent,incident,212,212,414,67,pagamento suporte_técnico,,,,,2023-05-10 00:00:00,2023-05-14 00:00:00,2023-05-10 00:00:00,2023-05-13 00:00:00
978,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,solved,high,question,318,318,429,,pagamento erro_sistema login,1032,,bad,,2024-01-24 00:00:00,2024-02-10 00:00:00,2024-02-02 00:00:00,2024-01-27 00:00:00
979,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,urgent,task,56,56,405,,cancelamento suporte_técnico,295,39.526.189/6507-47,,,2025-04-22 00:00:00,2025-05-04 00:00:00,,2025-04-24 00:00:00
980,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,open,high,problem,227,227,416,256,devolução financeiro,,,,,2023-08-10 00:00:00,2023-08-31 00:00:00,,2023-08-12 00:00:00
981,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,high,question,120,120,432,259,acesso troca erro_sistema,,50.365.356/5475-43,,,2025-11-12 00:00:00,2025-11-21 00:00:00,,2025-11-18 00:00:00
982,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,normal,task,266,266,432,302,suporte_técnico,,,,,2023-04-06 00:00:00,2023-04-28 00:00:00,,2023-04-13 00:00:00
983,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,open,high,problem,4,4,401,,erro_sistema contrato acesso suporte_técnico,925,,,,2024-06-06 00:00:00,2024-06-10 00:00:00,,2024-06-11 00:00:00
984,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,high,incident,357,357,480,175,contrato atraso troca cancelamento,,40.006.663/7691-11,,,2022-11-06 00:00:00,2022-11-19 00:00:00,2022-11-20 00:00:00,2022-11-13 00:00:00
985,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,new,high,problem,246,246,428,,nota_fiscal erro_sistema boleto,,,,,2024-12-10 00:00:00,2024-12-19 00:00:00,,2024-12-12 00:00:00
986,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,solved,low,task,256,256,426,10,senha digital,,,good,,2025-07-09 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-10 00:00:00
987,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,low,problem,51,51,388,33,acesso plataforma digital,,,,,2024-10-15 00:00:00,2024-11-12 00:00:00,,2024-10-20 00:00:00
988,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,urgent,incident,5,5,392,238,login nota_fiscal pagamento,303,90.990.529/9358-79,,,2025-03-21 00:00:00,2025-03-25 00:00:00,,2025-03-27 00:00:00
989,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,open,normal,problem,184,184,415,170,contrato boleto erro_sistema,333,00.907.873/2885-73,,,2024-09-27 00:00:00,2024-10-07 00:00:00,,2024-10-01 00:00:00
990,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,closed,low,problem,133,133,442,219,plataforma devolução urgente,,,bad,Demorou muito,2023-05-12 00:00:00,2023-05-16 00:00:00,2023-05-13 00:00:00,2023-05-20 00:00:00
991,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,closed,urgent,question,198,198,480,142,acesso contrato,32,,,,2024-09-07 00:00:00,2024-09-30 00:00:00,2024-09-10 00:00:00,2024-09-12 00:00:00
992,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,open,high,problem,24,24,431,,erro_sistema,877,05.042.423/3993-53,,,2022-03-24 00:00:00,2022-04-21 00:00:00,,2022-03-25 00:00:00
993,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,high,question,129,129,409,52,cancelamento urgente,,,,,2025-05-28 00:00:00,2025-06-22 00:00:00,,2025-06-03 00:00:00
994,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,pending,low,problem,25,25,437,60,falta_material pagamento,,0979648461,,,2022-08-28 00:00:00,2022-09-26 00:00:00,,2022-09-04 00:00:00
995,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,low,task,29,29,423,301,devolução boleto acesso digital,744,,good,,2025-08-26 00:00:00,2025-09-13 00:00:00,2025-08-25 00:00:00,2025-09-01 00:00:00
996,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,new,low,task,287,287,442,226,atraso urgente nota_fiscal acesso,130,66.886.866/5756-36,,,2024-10-02 00:00:00,2024-10-16 00:00:00,,2024-10-09 00:00:00
